x-axis	ch2
-2.50000000E-01	4.578E-01
-2.49500000E-01	4.578E-01
-2.49000000E-01	4.580E-01
-2.48500000E-01	4.580E-01
-2.48000000E-01	4.580E-01
-2.47500000E-01	4.580E-01
-2.47000000E-01	4.578E-01
-2.46500000E-01	4.576E-01
-2.46000000E-01	4.576E-01
-2.45500000E-01	4.576E-01
-2.45000000E-01	4.576E-01
-2.44500000E-01	4.576E-01
-2.44000000E-01	4.576E-01
-2.43500000E-01	4.574E-01
-2.43000000E-01	4.574E-01
-2.42500000E-01	4.574E-01
-2.42000000E-01	4.572E-01
-2.41500000E-01	4.572E-01
-2.41000000E-01	4.570E-01
-2.40500000E-01	4.570E-01
-2.40000000E-01	4.568E-01
-2.39500000E-01	4.568E-01
-2.39000000E-01	4.568E-01
-2.38500000E-01	4.568E-01
-2.38000000E-01	4.566E-01
-2.37500000E-01	4.566E-01
-2.37000000E-01	4.566E-01
-2.36500000E-01	4.566E-01
-2.36000000E-01	4.564E-01
-2.35500000E-01	4.562E-01
-2.35000000E-01	4.562E-01
-2.34500000E-01	4.560E-01
-2.34000000E-01	4.560E-01
-2.33500000E-01	4.558E-01
-2.33000000E-01	4.558E-01
-2.32500000E-01	4.556E-01
-2.32000000E-01	4.556E-01
-2.31500000E-01	4.556E-01
-2.31000000E-01	4.554E-01
-2.30500000E-01	4.554E-01
-2.30000000E-01	4.554E-01
-2.29500000E-01	4.552E-01
-2.29000000E-01	4.552E-01
-2.28500000E-01	4.550E-01
-2.28000000E-01	4.550E-01
-2.27500000E-01	4.548E-01
-2.27000000E-01	4.546E-01
-2.26500000E-01	4.546E-01
-2.26000000E-01	4.544E-01
-2.25500000E-01	4.544E-01
-2.25000000E-01	4.542E-01
-2.24500000E-01	4.542E-01
-2.24000000E-01	4.540E-01
-2.23500000E-01	4.539E-01
-2.23000000E-01	4.539E-01
-2.22500000E-01	4.539E-01
-2.22000000E-01	4.537E-01
-2.21500000E-01	4.535E-01
-2.21000000E-01	4.535E-01
-2.20500000E-01	4.533E-01
-2.20000000E-01	4.531E-01
-2.19500000E-01	4.529E-01
-2.19000000E-01	4.529E-01
-2.18500000E-01	4.529E-01
-2.18000000E-01	4.527E-01
-2.17500000E-01	4.525E-01
-2.17000000E-01	4.523E-01
-2.16500000E-01	4.523E-01
-2.16000000E-01	4.521E-01
-2.15500000E-01	4.519E-01
-2.15000000E-01	4.519E-01
-2.14500000E-01	4.517E-01
-2.14000000E-01	4.515E-01
-2.13500000E-01	4.513E-01
-2.13000000E-01	4.511E-01
-2.12500000E-01	4.511E-01
-2.12000000E-01	4.509E-01
-2.11500000E-01	4.507E-01
-2.11000000E-01	4.505E-01
-2.10500000E-01	4.503E-01
-2.10000000E-01	4.501E-01
-2.09500000E-01	4.501E-01
-2.09000000E-01	4.499E-01
-2.08500000E-01	4.497E-01
-2.08000000E-01	4.496E-01
-2.07500000E-01	4.494E-01
-2.07000000E-01	4.492E-01
-2.06500000E-01	4.488E-01
-2.06000000E-01	4.486E-01
-2.05500000E-01	4.484E-01
-2.05000000E-01	4.482E-01
-2.04500000E-01	4.480E-01
-2.04000000E-01	4.476E-01
-2.03500000E-01	4.474E-01
-2.03000000E-01	4.472E-01
-2.02500000E-01	4.470E-01
-2.02000000E-01	4.468E-01
-2.01500000E-01	4.466E-01
-2.01000000E-01	4.464E-01
-2.00500000E-01	4.462E-01
-2.00000000E-01	4.460E-01
-1.99500000E-01	4.458E-01
-1.99000000E-01	4.455E-01
-1.98500000E-01	4.453E-01
-1.98000000E-01	4.451E-01
-1.97500000E-01	4.449E-01
-1.97000000E-01	4.447E-01
-1.96500000E-01	4.443E-01
-1.96000000E-01	4.441E-01
-1.95500000E-01	4.437E-01
-1.95000000E-01	4.435E-01
-1.94500000E-01	4.431E-01
-1.94000000E-01	4.429E-01
-1.93500000E-01	4.425E-01
-1.93000000E-01	4.421E-01
-1.92500000E-01	4.417E-01
-1.92000000E-01	4.415E-01
-1.91500000E-01	4.412E-01
-1.91000000E-01	4.408E-01
-1.90500000E-01	4.404E-01
