x-axis	ch2
-2.50000000E-01	4.466E-01
-2.49500000E-01	4.468E-01
-2.49000000E-01	4.468E-01
-2.48500000E-01	4.468E-01
-2.48000000E-01	4.468E-01
-2.47500000E-01	4.468E-01
-2.47000000E-01	4.468E-01
-2.46500000E-01	4.466E-01
-2.46000000E-01	4.466E-01
-2.45500000E-01	4.466E-01
-2.45000000E-01	4.466E-01
-2.44500000E-01	4.464E-01
-2.44000000E-01	4.464E-01
-2.43500000E-01	4.464E-01
-2.43000000E-01	4.464E-01
-2.42500000E-01	4.464E-01
-2.42000000E-01	4.462E-01
-2.41500000E-01	4.462E-01
-2.41000000E-01	4.462E-01
-2.40500000E-01	4.462E-01
-2.40000000E-01	4.460E-01
-2.39500000E-01	4.460E-01
-2.39000000E-01	4.460E-01
-2.38500000E-01	4.460E-01
-2.38000000E-01	4.458E-01
-2.37500000E-01	4.458E-01
-2.37000000E-01	4.458E-01
-2.36500000E-01	4.456E-01
-2.36000000E-01	4.456E-01
-2.35500000E-01	4.456E-01
-2.35000000E-01	4.456E-01
-2.34500000E-01	4.455E-01
-2.34000000E-01	4.455E-01
-2.33500000E-01	4.455E-01
-2.33000000E-01	4.453E-01
-2.32500000E-01	4.453E-01
-2.32000000E-01	4.453E-01
-2.31500000E-01	4.451E-01
-2.31000000E-01	4.451E-01
-2.30500000E-01	4.451E-01
-2.30000000E-01	4.449E-01
-2.29500000E-01	4.449E-01
-2.29000000E-01	4.449E-01
-2.28500000E-01	4.447E-01
-2.28000000E-01	4.447E-01
-2.27500000E-01	4.445E-01
-2.27000000E-01	4.445E-01
-2.26500000E-01	4.443E-01
-2.26000000E-01	4.443E-01
-2.25500000E-01	4.441E-01
-2.25000000E-01	4.441E-01
-2.24500000E-01	4.441E-01
-2.24000000E-01	4.439E-01
-2.23500000E-01	4.439E-01
-2.23000000E-01	4.437E-01
-2.22500000E-01	4.437E-01
-2.22000000E-01	4.435E-01
-2.21500000E-01	4.433E-01
-2.21000000E-01	4.433E-01
-2.20500000E-01	4.431E-01
-2.20000000E-01	4.431E-01
-2.19500000E-01	4.429E-01
-2.19000000E-01	4.427E-01
-2.18500000E-01	4.427E-01
-2.18000000E-01	4.425E-01
-2.17500000E-01	4.423E-01
-2.17000000E-01	4.423E-01
-2.16500000E-01	4.421E-01
-2.16000000E-01	4.419E-01
-2.15500000E-01	4.419E-01
-2.15000000E-01	4.417E-01
-2.14500000E-01	4.415E-01
-2.14000000E-01	4.415E-01
-2.13500000E-01	4.414E-01
-2.13000000E-01	4.412E-01
-2.12500000E-01	4.410E-01
-2.12000000E-01	4.410E-01
-2.11500000E-01	4.406E-01
-2.11000000E-01	4.406E-01
-2.10500000E-01	4.404E-01
-2.10000000E-01	4.402E-01
-2.09500000E-01	4.400E-01
-2.09000000E-01	4.398E-01
-2.08500000E-01	4.398E-01
-2.08000000E-01	4.396E-01
-2.07500000E-01	4.394E-01
-2.07000000E-01	4.392E-01
-2.06500000E-01	4.390E-01
-2.06000000E-01	4.388E-01
-2.05500000E-01	4.386E-01
-2.05000000E-01	4.384E-01
-2.04500000E-01	4.382E-01
-2.04000000E-01	4.380E-01
-2.03500000E-01	4.378E-01
-2.03000000E-01	4.376E-01
-2.02500000E-01	4.374E-01
-2.02000000E-01	4.372E-01
-2.01500000E-01	4.371E-01
-2.01000000E-01	4.369E-01
-2.00500000E-01	4.367E-01
-2.00000000E-01	4.365E-01
-1.99500000E-01	4.363E-01
-1.99000000E-01	4.359E-01
-1.98500000E-01	4.357E-01
-1.98000000E-01	4.355E-01
-1.97500000E-01	4.351E-01
-1.97000000E-01	4.349E-01
-1.96500000E-01	4.345E-01
-1.96000000E-01	4.343E-01
-1.95500000E-01	4.341E-01
-1.95000000E-01	4.337E-01
-1.94500000E-01	4.335E-01
-1.94000000E-01	4.331E-01
-1.93500000E-01	4.330E-01
-1.93000000E-01	4.328E-01
-1.92500000E-01	4.324E-01
-1.92000000E-01	4.320E-01
-1.91500000E-01	4.318E-01
-1.91000000E-01	4.314E-01
-1.90500000E-01	4.312E-01
-1.90000000E-01	4.308E-01
-1.89500000E-01	4.306E-01
-1.89000000E-01	4.304E-01
-1.88500000E-01	4.300E-01
-1.88000000E-01	4.298E-01
-1.87500000E-01	4.292E-01
-1.87000000E-01	4.290E-01
-1.86500000E-01	4.287E-01
-1.86000000E-01	4.283E-01
-1.85500000E-01	4.281E-01
-1.85000000E-01	4.277E-01
-1.84500000E-01	4.273E-01
-1.84000000E-01	4.269E-01
-1.83500000E-01	4.265E-01
-1.83000000E-01	4.261E-01
-1.82500000E-01	4.257E-01
-1.82000000E-01	4.253E-01
-1.81500000E-01	4.249E-01
-1.81000000E-01	4.246E-01
-1.80500000E-01	4.242E-01
-1.80000000E-01	4.238E-01
-1.79500000E-01	4.234E-01
-1.79000000E-01	4.228E-01
-1.78500000E-01	4.224E-01
-1.78000000E-01	4.220E-01
-1.77500000E-01	4.214E-01
-1.77000000E-01	4.208E-01
-1.76500000E-01	4.205E-01
